Line,Station Name,Station Latitude,Station Longitude
Rockaway,Far Rockaway-Mott Av,40.603995,-73.755405
Rockaway,Beach 25th St,40.600066,-73.761353
Rockaway,Beach 36th St,40.595398,-73.768175
Rockaway,Beach 44th St,40.592943,-73.776013
Queens Boulevard,Jamaica-179th St,40.712646,-73.783817
Rockaway,Beach 60th St,40.592374,-73.788522
Queens Boulevard,169th St,40.71047,-73.793604
Rockaway,Beach 67th St,40.590927,-73.796924
Archer Av,Parsons Blvd-Archer Av - Jamaica Center,40.702147,-73.801109
Queens Boulevard,Parsons Blvd,40.707564,-73.803326
Archer Av,Sutphin Blvd-Archer Av - JFK,40.700486,-73.807969
Queens Boulevard,Sutphin Blvd,40.70546,-73.810708
Rockaway,Beach 90th St,40.588034,-73.813641
Rockaway,Broad Channel,40.608382,-73.815925
Archer Av,Jamaica-Van Wyck,40.702566,-73.816859
Rockaway,Beach 98th St,40.585307,-73.820558
Queens Boulevard,Briarwood-Van Wyck Blvd,40.709179,-73.820574
Liberty,Lefferts Blvd,40.685951,-73.825798
Rockaway,Beach 105th St,40.583209,-73.827559
Pelham,Pelham Bay Park,40.852462,-73.828121
Broadway Jamaica,121st St,40.700492,-73.828294
Flushing,Flushing-Main St,40.7596,-73.83003
Rockaway,Howard Beach,40.660476,-73.830301
Dyre Av,Eastchester-Dyre Av,40.8883,-73.830834
Queens Boulevard,Kew Gardens-Union Turnpike,40.714441,-73.831008
Liberty,111th St-Greenwood Av,40.684331,-73.832163
Pelham,Buhre Av,40.84681,-73.832569
Rockaway,Aqueduct-North Conduit Av,40.668234,-73.834058
Rockaway,Rockaway Park-Beach 116th,40.580903,-73.835592
Rockaway,Aqueduct Racetrack,40.672131,-73.835812
Pelham,Middletown Rd,40.843863,-73.836322
Broadway Jamaica,111th St,40.697418,-73.836345
Queens Boulevard,75th Av,40.718331,-73.837324
Liberty,104th St-Oxford Av,40.681711,-73.837683
Dyre Av,Baychester Av,40.878663,-73.838591
Pelham,Westchester Square-East Tremont Av,40.839892,-73.842952
Liberty,Rockaway Blvd,40.680429,-73.843853
Broadway Jamaica,104th St-102nd St,40.695178,-73.84433
Queens Boulevard,Forest Hills-71st Av,40.721691,-73.844521
Flushing,Mets - Willets Point,40.754622,-73.845625
Dyre Av,Gun Hill Rd,40.869526,-73.846384
Pelham,Zerega Av,40.836488,-73.847036
White Plains Road,Wakefield-241st St,40.903125,-73.85062
Pelham,Castle Hill Av,40.834255,-73.851222
Liberty,88th St-Boyd Av,40.679843,-73.85147
Broadway Jamaica,Woodhaven Blvd,40.693879,-73.851576
Queens Boulevard,67th Av,40.726523,-73.852719
White Plains Road,238th St-Nereid Av,40.898379,-73.854376
Flushing,111th St,40.75173,-73.855334
Dyre Av,Pelham Parkway,40.858985,-73.855359
White Plains Road,233rd St,40.893193,-73.857473
Liberty,80th St-Hudson St,40.679371,-73.858992
Broadway Jamaica,Forest Parkway-85th St,40.692435,-73.86001
White Plains Road,225th St,40.888022,-73.860341
Dyre Av,Morris Park,40.854364,-73.860495
Pelham,Parkchester-East 177th St,40.833226,-73.860816
Queens Boulevard,63rd Drive-Rego Park,40.729846,-73.861604
White Plains Road,219th St,40.883895,-73.862633
Flushing,103rd St,40.749865,-73.8627
Liberty,Grant Av,40.677044,-73.86505
White Plains Road,Gun Hill Rd,40.87785,-73.866256
Broadway Jamaica,Elderts Lane-75th St,40.691324,-73.867139
White Plains Road,Burke Av,40.871356,-73.867164
White Plains Road,Allerton Av,40.865462,-73.867352
White Plains Road,Pelham Parkway,40.857192,-73.867615
Pelham,St Lawrence Av,40.831509,-73.867618
White Plains Road,Bronx Park East,40.848828,-73.868457
Queens Boulevard,Woodhaven Blvd,40.733106,-73.869229
Flushing,Junction Blvd,40.749145,-73.869527
Fulton,Euclid Av,40.675377,-73.872106
Broadway Jamaica,Cypress Hills,40.689941,-73.87255
White Plains Road,East 180th St,40.841894,-73.873488
Broadway Jamaica,Crescent St,40.683194,-73.873785
Pelham,Morrison Av-Soundview Av,40.829521,-73.874516
Flushing,90th St Elmhurst,40.748408,-73.876613
Queens Boulevard,Grand Av-Newtown,40.737015,-73.877223
Jerome,Woodlawn,40.886037,-73.878751
Concourse,Norwood-205th St,40.874811,-73.878855
Pelham,Elder Av,40.828584,-73.879159
Broadway Jamaica,Norwood Av,40.68141,-73.880039
White Plains Road,East Tremont Av-West Farms Sq,40.840295,-73.880049
Fulton,Shepherd Av,40.67413,-73.88075
Queens Boulevard,Elmhurst Av,40.742454,-73.882017
Flushing,82nd St-Jackson Heights,40.747659,-73.883697
New Lots,New Lots Av,40.666235,-73.884079
Broadway Jamaica,Cleveland St,40.679947,-73.884639
Jerome,Mosholu Parkway,40.87975,-73.884655
Pelham,Whitlock Av,40.826525,-73.886283
Concourse,Bedford Park Blvd,40.873244,-73.887138
White Plains Road,174th St,40.837288,-73.887734
New Lots,Van Siclen Av,40.665449,-73.889395
Myrtle,Metropolitan Av,40.711396,-73.889601
Jerome,Bedford Park Blvd-Lehman College,40.873412,-73.890064
Fulton,Van Siclen Av,40.67271,-73.890358
Pelham,Hunts Point Av,40.820948,-73.890549
Queens Boulevard,Jackson Heights-Roosevelt Ave,40.746644,-73.891338
Flushing,Broadway-74th St,40.746848,-73.891394
Broadway Jamaica,Van Siclen Av,40.678024,-73.891688
White Plains Road,Freeman St,40.829993,-73.891865
White Plains Road,Simpson St,40.824073,-73.893064
Concourse,Kingsbridge Rd,40.866978,-73.893509
New Lots,Pennsylvania Av,40.664635,-73.894895
Myrtle,Fresh Pond Rd,40.706186,-73.895877
Flushing,Fisk Av-69th St,40.746325,-73.896403
Pelham,Longwood Av,40.816104,-73.896435
Fulton,Liberty Av,40.674542,-73.896548
White Plains Road,Intervale Av,40.822181,-73.896736
Jerome,Kingsbridge Rd,40.86776,-73.897174
Concourse,Fordham Rd,40.861296,-73.897749
Queens Boulevard,65th St,40.749669,-73.898453
Broadway-7th Ave,Van Cortlandt Park-242nd St,40.889248,-73.898583
Broadway Jamaica,Alabama Av,40.676992,-73.898654
Canarsie,New Lots Av,40.658733,-73.899232
Canarsie,East 105th St,40.650573,-73.899485
Canarsie,Livonia Av,40.664038,-73.900571
Concourse,182nd-183rd Sts,40.856093,-73.900741
Broadway-7th Ave,238th St,40.884667,-73.90087
Jerome,Fordham Rd,40.862803,-73.901034
Canarsie,Canarsie - Rockaway Parkway,40.645957,-73.901741
White Plains Road,Prospect Av,40.819585,-73.90177
Canarsie,Canarsie - Rockaway Parkway,40.646654,-73.90185
Canarsie,Sutter Av,40.669367,-73.901975
New Lots,Junius St,40.663515,-73.902447
Canarsie,Canarsie - Rockaway Parkway,40.645757,-73.9025
Flushing,Woodside Av-61st St,40.74563,-73.902984
Myrtle,Forest Av,40.704423,-73.903077
Canarsie,Atlantic Av,40.675345,-73.903097
Jerome,183rd St,40.858407,-73.903879
Canarsie,Wilson Av,40.688764,-73.904046
Canarsie,Halsey St,40.695602,-73.904084
Pelham,East 149th St,40.812118,-73.904098
Broadway-7th Ave,231st St,40.878856,-73.904834
Concourse,Tremont Av,40.85041,-73.905227
Canarsie,Bushwick Av,40.682829,-73.905249
Fulton,Broadway Junction-East New York,40.678334,-73.905316
Queens Boulevard,Northern Blvd,40.752885,-73.906006
Pelham,East 143rd St-St Mary's St,40.808719,-73.907657
Jerome,Burnside Av,40.853453,-73.907684
Myrtle,Seneca Av,40.702762,-73.90774
White Plains Road,Jackson Av,40.81649,-73.907807
New Lots,Rockaway Av,40.662549,-73.908946
Broadway-7th Ave,Marble Hill-225th St,40.874561,-73.909831
Concourse,174-175th Sts,40.8459,-73.910136
Broadway Jamaica,Chauncey St,40.682893,-73.910456
Canarsie,Myrtle Av,40.699814,-73.911586
Jerome,176th St,40.84848,-73.911794
Fulton,Rockaway Av,40.67834,-73.911946
Astoria,Ditmars Blvd,40.775036,-73.912034
Flushing,Lincoln Av-52nd St,40.744149,-73.912549
Queens Boulevard,46th St,40.756312,-73.913333
Concourse,170th St,40.839306,-73.9134
Pelham,Cypress Av,40.805368,-73.914042
Jerome,Mt Eden Av,40.844434,-73.914685
